street,variant,is_canonical,town_name,street_latitude,street_longitude,street_type
aldo moro road,aldo moro road,TRUE,marsa,35.8772393,14.4948062,primary
aldo moro road,aldo moro street,FALSE,marsa,,,
aldo moro road,marsa's aldo moro road,FALSE,marsa,,,
aldo moro road,the busy aldo moro road,FALSE,marsa,,,
aldo moro road,triq aldo moro,FALSE,marsa,,,
attard road,attard road,TRUE,zebbug,35.8828703,14.4401592,primary
bella vista street,bella vista street,TRUE,san gwann,35.907253,14.4720292,secondary
birkirkara bypass,birkirkara bypass,TRUE,birkirkara,35.9015668,14.4700501,trunk
birzebbuga road,birzebbuga road,TRUE,birzebbuga,35.8417603,14.5279126,primary
blue grotto avenue,blue grotto avenue,TRUE,zurrieq,35.8298773,14.4695035,secondary
cannon road,cannon road,TRUE,santa venera,35.8875617,14.4745003,secondary
cannon road,canon road,FALSE,santa venera,,,
cannon road,on cannon road,FALSE,santa venera,,,
cannon road,on canon road,FALSE,santa venera,,,
central link road,central link road,TRUE,attard,35.88972,14.4425,primary
coast road,coast road,TRUE,naxxar,35.9462438,14.4481762,trunk
coast road,along the coast road,FALSE,naxxar,,,
coast road,the coast road,FALSE,naxxar,,,
coast road,triq il kosta,FALSE,naxxar,,,
coast road,triq tul il kosta,FALSE,naxxar,,,
coast road,tul il-kosta,FALSE,naxxar,,,
coast road,triq tul il-kosta,FALSE,naxxar,,,
cospicua road,cospicua road,TRUE,paola,35.8739795,14.5085618,secondary
xatt il-forn,cospicua seafront,FALSE,bormla,,,
xatt il-forn,xatt il-forn,TRUE,bormla,35.8849,14.5217,secondary
cottoner avenue,cottoner avenue,TRUE,fgura,35.872845,14.5221719,tertiary
dawret hal ghaxaq,triq dawret hal ghaxaq,FALSE,ghaxaq,,,
dawret hal ghaxaq,dawret hal ghaxaq,TRUE,ghaxaq,35.848783,14.5251465,primary
dawret il-gudja,dawret il-gudja,TRUE,gudja,35.8522112,14.4985812,primary
dawret san pawl,dawret san pawl,TRUE,san pawl il bahar,35.9469478,14.3994613,trunk
december 13 road,december 13 road,TRUE,marsa,35.87862,14.491382,trunk
floriana park and ride,floriana park and ride,TRUE,floriana,35.88811,14.50119,parking
floriana park and ride,floriana park and ride facility,FALSE,floriana,,,
